StorageDiskMetricsEvent: 2025/02/05 14:00:23 Timestamp: 2025-02-05T14:00:23+05:30, DiskUsage: 67, TotalContents: 3
StorageDiskMetricsEvent: 2025/02/05 14:00:54 Timestamp: 2025-02-05T14:00:54+05:30, DiskUsage: 67, TotalContents: 4
StorageDiskMetricsEvent: 2025/02/05 14:01:26 Timestamp: 2025-02-05T14:01:26+05:30, DiskUsage: 67, TotalContents: 4
StorageDiskMetricsEvent: 2025/02/05 14:01:58 Timestamp: 2025-02-05T14:01:58+05:30, DiskUsage: 67, TotalContents: 2
StorageDiskMetricsEvent: 2025/02/05 14:02:29 Timestamp: 2025-02-05T14:02:29+05:30, DiskUsage: 67, TotalContents: 2
StorageDiskMetricsEvent: 2025/02/05 15:38:15 Timestamp: 2025-02-05T15:38:15+05:30, DiskUsage: 67, TotalContents: 0
StorageDiskMetricsEvent: 2025/02/05 15:38:47 Timestamp: 2025-02-05T15:38:47+05:30, DiskUsage: 67, TotalContents: 0
StorageDiskMetricsEvent: 2025/02/05 15:39:19 Timestamp: 2025-02-05T15:39:19+05:30, DiskUsage: 67, TotalContents: 0
StorageDiskMetricsEvent: 2025/02/05 15:39:50 Timestamp: 2025-02-05T15:39:50+05:30, DiskUsage: 67, TotalContents: 0
StorageDiskMetricsEvent: 2025/02/05 15:40:22 Timestamp: 2025-02-05T15:40:22+05:30, DiskUsage: 67, TotalContents: 0
StorageDiskMetricsEvent: 2025/02/05 15:40:54 Timestamp: 2025-02-05T15:40:54+05:30, DiskUsage: 67, TotalContents: 0
StorageDiskMetricsEvent: 2025/02/05 15:41:25 Timestamp: 2025-02-05T15:41:25+05:30, DiskUsage: 67, TotalContents: 0
StorageDiskMetricsEvent: 2025/02/05 15:41:57 Timestamp: 2025-02-05T15:41:57+05:30, DiskUsage: 67, TotalContents: 0
StorageDiskMetricsEvent: 2025/02/05 15:42:29 Timestamp: 2025-02-05T15:42:29+05:30, DiskUsage: 67, TotalContents: 0
StorageDiskMetricsEvent: 2025/02/05 15:43:01 Timestamp: 2025-02-05T15:43:01+05:30, DiskUsage: 67, TotalContents: 0
StorageDiskMetricsEvent: 2025/02/05 15:43:32 Timestamp: 2025-02-05T15:43:32+05:30, DiskUsage: 67, TotalContents: 0
StorageDiskMetricsEvent: 2025/02/05 15:44:04 Timestamp: 2025-02-05T15:44:04+05:30, DiskUsage: 67, TotalContents: 0
StorageDiskMetricsEvent: 2025/02/05 15:44:36 Timestamp: 2025-02-05T15:44:36+05:30, DiskUsage: 67, TotalContents: 0
StorageDiskMetricsEvent: 2025/02/05 15:45:07 Timestamp: 2025-02-05T15:45:07+05:30, DiskUsage: 67, TotalContents: 0
StorageDiskMetricsEvent: 2025/02/05 15:45:39 Timestamp: 2025-02-05T15:45:39+05:30, DiskUsage: 67, TotalContents: 0
StorageDiskMetricsEvent: 2025/02/05 15:46:11 Timestamp: 2025-02-05T15:46:11+05:30, DiskUsage: 67, TotalContents: 0
StorageDiskMetricsEvent: 2025/02/05 15:46:43 Timestamp: 2025-02-05T15:46:43+05:30, DiskUsage: 67, TotalContents: 0
StorageDiskMetricsEvent: 2025/02/05 15:47:14 Timestamp: 2025-02-05T15:47:14+05:30, DiskUsage: 67, TotalContents: 1
StorageDiskMetricsEvent: 2025/02/05 15:47:46 Timestamp: 2025-02-05T15:47:46+05:30, DiskUsage: 67, TotalContents: 1
StorageDiskMetricsEvent: 2025/02/05 15:48:18 Timestamp: 2025-02-05T15:48:18+05:30, DiskUsage: 67, TotalContents: 1
StorageDiskMetricsEvent: 2025/02/05 15:48:50 Timestamp: 2025-02-05T15:48:50+05:30, DiskUsage: 67, TotalContents: 1
StorageDiskMetricsEvent: 2025/02/05 15:49:22 Timestamp: 2025-02-05T15:49:22+05:30, DiskUsage: 67, TotalContents: 1
StorageDiskMetricsEvent: 2025/02/05 15:49:53 Timestamp: 2025-02-05T15:49:53+05:30, DiskUsage: 67, TotalContents: 1
